date,day,pages,reason
1901-11-18,Monday,5,
1901-11-19,Tuesday,5,
1901-11-20,Wednesday,5,
1901-11-21,Thursday,5,
1901-11-22,Friday,5,
1901-11-23,Saturday,2,
1901-11-24,Sunday,0,Sunday
1901-11-25,Monday,5,
1901-11-26,Tuesday,5,
1901-11-27,Wednesday,5,
1901-11-28,Thursday,5,
1901-11-29,Friday,5,
1901-11-30,Saturday,2,
1901-12-01,Sunday,0,Sunday
1901-12-02,Monday,5,
1901-12-03,Tuesday,5,
1901-12-04,Wednesday,5,
1901-12-05,Thursday,5,
1901-12-06,Friday,5,
1901-12-07,Saturday,2,
1901-12-08,Sunday,0,Sunday
1901-12-09,Monday,5,
1901-12-10,Tuesday,5,
1901-12-11,Wednesday,5,
1901-12-12,Thursday,5,
1901-12-13,Friday,5,
1901-12-14,Saturday,2,
1901-12-15,Sunday,0,Sunday
1901-12-16,Monday,2,
1901-12-17,Tuesday,5,
1901-12-18,Wednesday,5,
1901-12-19,Thursday,5,
1901-12-20,Friday,5,
1901-12-21,Saturday,2,
1901-12-22,Sunday,0,Sunday
1901-12-23,Monday,5,
1901-12-24,Tuesday,3,
1901-12-25,Wednesday,0,Christmas Day
1901-12-26,Thursday,0,Boxing Day
1901-12-27,Friday,0,No pages
1901-12-28,Saturday,0,No pages
1901-12-29,Sunday,0,Sunday
1901-12-30,Monday,0,No pages
1901-12-31,Tuesday,0,No pages
1902-01-01,Wednesday,0,New Years day
1902-01-02,Thursday,0,No pages
1902-01-03,Friday,0,No pages
1902-01-04,Saturday,0,No pages
1902-01-05,Sunday,0,Sunday
1902-01-06,Monday,5,
1902-01-07,Tuesday,5,
1902-01-08,Wednesday,5,
1902-01-09,Thursday,5,
1902-01-10,Friday,5,
1902-01-11,Saturday,2,
1902-01-12,Sunday,0,Sunday
1902-01-13,Monday,5,
1902-01-14,Tuesday,5,
1902-01-15,Wednesday,5,
1902-01-16,Thursday,5,
1902-01-17,Friday,5,
1902-01-18,Saturday,2,
1902-01-19,Sunday,0,Sunday
1902-01-20,Monday,5,
1902-01-21,Tuesday,5,
1902-01-22,Wednesday,5,
1902-01-23,Thursday,5,
1902-01-24,Friday,5,
1902-01-25,Saturday,2,
1902-01-26,Sunday,0,Sunday
1902-01-27,Monday,0,Anniversary Day
1902-01-28,Tuesday,5,
1902-01-29,Wednesday,5,
1902-01-30,Thursday,5,
1902-01-31,Friday,5,
1902-02-01,Saturday,2,
1902-02-02,Sunday,0,Sunday
1902-02-03,Monday,5,
1902-02-04,Tuesday,5,
1902-02-05,Wednesday,5,
1902-02-06,Thursday,5,
1902-02-07,Friday,5,
1902-02-08,Saturday,2,
1902-02-09,Sunday,0,Sunday
1902-02-10,Monday,5,
1902-02-11,Tuesday,5,
1902-02-12,Wednesday,5,
1902-02-13,Thursday,5,
1902-02-14,Friday,5,
1902-02-15,Saturday,2,
1902-02-16,Sunday,0,Sunday
1902-02-17,Monday,5,
1902-02-18,Tuesday,5,
1902-02-19,Wednesday,5,
1902-02-20,Thursday,5,
1902-02-21,Friday,5,
1902-02-22,Saturday,2,
1902-02-23,Sunday,0,Sunday
1902-02-24,Monday,5,
1902-02-25,Tuesday,5,
1902-02-26,Wednesday,0,No pages
1902-02-27,Thursday,5,
1902-02-28,Friday,5,
1902-03-01,Saturday,2,
1902-03-02,Sunday,0,Sunday
1902-03-03,Monday,5,
1902-03-04,Tuesday,5,
1902-03-05,Wednesday,5,
1902-03-06,Thursday,5,
1902-03-07,Friday,5,
1902-03-08,Saturday,2,
1902-03-09,Sunday,0,Sunday
1902-03-10,Monday,5,
1902-03-11,Tuesday,5,
1902-03-12,Wednesday,5,
1902-03-13,Thursday,5,
1902-03-14,Friday,5,
1902-03-15,Saturday,2,
1902-03-16,Sunday,0,Sunday
1902-03-17,Monday,5,
1902-03-18,Tuesday,5,
1902-03-19,Wednesday,5,
1902-03-20,Thursday,5,
1902-03-21,Friday,5,
1902-03-22,Saturday,2,
1902-03-23,Sunday,0,Sunday
1902-03-24,Monday,5,
1902-03-25,Tuesday,5,
1902-03-26,Wednesday,5,
1902-03-27,Thursday,3,
1902-03-28,Friday,0,Good Friday
1902-03-29,Saturday,0,Easter Saturday
1902-03-30,Sunday,0,Sunday
1902-03-31,Monday,0,Easter Monday
1902-04-01,Tuesday,0,No pages
1902-04-02,Wednesday,3,
1902-04-03,Thursday,5,
1902-04-04,Friday,5,
1902-04-05,Saturday,2,
1902-04-06,Sunday,0,Sunday
1902-04-07,Monday,5,
1902-04-08,Tuesday,5,
1902-04-09,Wednesday,5,
1902-04-10,Thursday,5,
1902-04-11,Friday,5,
1902-04-12,Saturday,2,
1902-04-13,Sunday,0,Sunday
1902-04-14,Monday,5,
1902-04-15,Tuesday,5,
1902-04-16,Wednesday,5,
1902-04-17,Thursday,5,
1902-04-18,Friday,5,
1902-04-19,Saturday,2,
1902-04-20,Sunday,0,Sunday
1902-04-21,Monday,5,
1902-04-22,Tuesday,5,
1902-04-23,Wednesday,5,
1902-04-24,Thursday,5,
1902-04-25,Friday,5,
1902-04-26,Saturday,2,
1902-04-27,Sunday,0,Sunday
1902-04-28,Monday,5,
1902-04-29,Tuesday,5,
1902-04-30,Wednesday,5,
1902-05-01,Thursday,5,
1902-05-02,Friday,5,
1902-05-03,Saturday,2,
1902-05-04,Sunday,0,Sunday
1902-05-05,Monday,5,
1902-05-06,Tuesday,5,
1902-05-07,Wednesday,5,
1902-05-08,Thursday,5,
1902-05-09,Friday,5,
1902-05-10,Saturday,2,
1902-05-11,Sunday,0,Sunday
1902-05-12,Monday,5,
1902-05-13,Tuesday,5,
1902-05-14,Wednesday,5,
1902-05-15,Thursday,5,
1902-05-16,Friday,5,
1902-05-17,Saturday,2,
1902-05-18,Sunday,0,Sunday
1902-05-19,Monday,5,
1902-05-20,Tuesday,5,
1902-05-21,Wednesday,5,
1902-05-22,Thursday,5,
1902-05-23,Friday,5,
1902-05-24,Saturday,2,
1902-05-25,Sunday,0,Sunday
1902-05-26,Monday,5,
1902-05-27,Tuesday,5,
1902-05-28,Wednesday,5,
1902-05-29,Thursday,5,
1902-05-30,Friday,5,
1902-05-31,Saturday,2,
1902-06-01,Sunday,0,Sunday
1902-06-02,Monday,5,
1902-06-03,Tuesday,0,Prince of Wales's Birthday
1902-06-04,Wednesday,5,
1902-06-05,Thursday,5,
1902-06-06,Friday,5,
1902-06-07,Saturday,2,
1902-06-08,Sunday,0,Sunday
1902-06-09,Monday,5,
1902-06-10,Tuesday,5,
1902-06-11,Wednesday,5,
1902-06-12,Thursday,5,
1902-06-13,Friday,5,
1902-06-14,Saturday,2,
1902-06-15,Sunday,0,Sunday
1902-06-16,Monday,5,
1902-06-17,Tuesday,5,
1902-06-18,Wednesday,5,
1902-06-19,Thursday,5,
1902-06-20,Friday,5,
1902-06-21,Saturday,2,
1902-06-22,Sunday,0,Sunday
1902-06-23,Monday,5,
1902-06-24,Tuesday,5,
1902-06-25,Wednesday,5,
1902-06-26,Thursday,0,No pages
1902-06-27,Friday,5,
1902-06-28,Saturday,2,
1902-06-29,Sunday,0,Sunday
1902-06-30,Monday,5,
1902-07-01,Tuesday,5,
1902-07-02,Wednesday,5,
1902-07-03,Thursday,5,
1902-07-04,Friday,5,
1902-07-05,Saturday,2,
1902-07-06,Sunday,0,Sunday
1902-07-07,Monday,5,
1902-07-08,Tuesday,5,
1902-07-09,Wednesday,5,
1902-07-10,Thursday,5,
1902-07-11,Friday,5,
1902-07-12,Saturday,2,
1902-07-13,Sunday,0,Sunday
1902-07-14,Monday,5,
1902-07-15,Tuesday,5,
1902-07-16,Wednesday,5,
1902-07-17,Thursday,5,
1902-07-18,Friday,5,
1902-07-19,Saturday,2,
1902-07-20,Sunday,0,Sunday
1902-07-21,Monday,5,
1902-07-22,Tuesday,5,
1902-07-23,Wednesday,5,
1902-07-24,Thursday,5,
1902-07-25,Friday,5,
1902-07-26,Saturday,2,
1902-07-27,Sunday,0,Sunday
1902-07-28,Monday,5,
1902-07-29,Tuesday,5,
1902-07-30,Wednesday,5,
1902-07-31,Thursday,5,
1902-08-01,Friday,5,
1902-08-02,Saturday,2,
1902-08-03,Sunday,0,Sunday
1902-08-04,Monday,0,Bank Holiday
1902-08-05,Tuesday,5,
1902-08-06,Wednesday,5,
1902-08-07,Thursday,5,
1902-08-08,Friday,5,
1902-08-09,Saturday,0,No pages
1902-08-10,Sunday,0,Sunday
1902-08-11,Monday,5,
1902-08-12,Tuesday,5,
1902-08-13,Wednesday,5,
1902-08-14,Thursday,5,
1902-08-15,Friday,5,
1902-08-16,Saturday,2,
1902-08-17,Sunday,0,Sunday
1902-08-18,Monday,5,
1902-08-19,Tuesday,5,
1902-08-20,Wednesday,5,
1902-08-21,Thursday,5,
1902-08-22,Friday,5,
1902-08-23,Saturday,2,
1902-08-24,Sunday,0,Sunday
1902-08-25,Monday,5,
1902-08-26,Tuesday,5,
1902-08-27,Wednesday,5,
1902-08-28,Thursday,5,
1902-08-29,Friday,5,
1902-08-30,Saturday,2,
1902-08-31,Sunday,0,Sunday
1902-09-01,Monday,5,
1902-09-02,Tuesday,5,
1902-09-03,Wednesday,5,
1902-09-04,Thursday,5,
1902-09-05,Friday,5,
1902-09-06,Saturday,2,
1902-09-07,Sunday,0,Sunday
1902-09-08,Monday,5,
1902-09-09,Tuesday,5,
1902-09-10,Wednesday,5,
1902-09-11,Thursday,5,
1902-09-12,Friday,5,
1902-09-13,Saturday,2,
1902-09-14,Sunday,0,Sunday
1902-09-15,Monday,5,
1902-09-16,Tuesday,5,
1902-09-17,Wednesday,5,
1902-09-18,Thursday,5,
1902-09-19,Friday,5,
1902-09-20,Saturday,2,
1902-09-21,Sunday,0,Sunday
1902-09-22,Monday,5,
1902-09-23,Tuesday,5,
1902-09-24,Wednesday,5,
1902-09-25,Thursday,5,
1902-09-26,Friday,5,
1902-09-27,Saturday,2,
1902-09-28,Sunday,0,Sunday
1902-09-29,Monday,5,
1902-09-30,Tuesday,5,
1902-10-01,Wednesday,5,
1902-10-02,Thursday,5,
1902-10-03,Friday,5,
1902-10-04,Saturday,2,
1902-10-05,Sunday,0,Sunday
1902-10-06,Monday,0,Labour Day
1902-10-07,Tuesday,5,
1902-10-08,Wednesday,5,
1902-10-09,Thursday,5,
1902-10-10,Friday,5,
1902-10-11,Saturday,2,
1902-10-12,Sunday,0,Sunday
1902-10-13,Monday,5,
1902-10-14,Tuesday,5,
1902-10-15,Wednesday,5,
1902-10-16,Thursday,5,
1902-10-17,Friday,5,
1902-10-18,Saturday,2,
1902-10-19,Sunday,0,Sunday
1902-10-20,Monday,5,
1902-10-21,Tuesday,5,
1902-10-22,Wednesday,5,
1902-10-23,Thursday,5,
1902-10-24,Friday,5,
1902-10-25,Saturday,2,
1902-10-26,Sunday,0,Sunday
1902-10-27,Monday,5,
1902-10-28,Tuesday,5,
1902-10-29,Wednesday,5,
1902-10-30,Thursday,5,
1902-10-31,Friday,5,
1902-11-01,Saturday,2,
1902-11-02,Sunday,0,Sunday
1902-11-03,Monday,5,
1902-11-04,Tuesday,5,
1902-11-05,Wednesday,5,
1902-11-06,Thursday,5,
1902-11-07,Friday,5,
1902-11-08,Saturday,2,
1902-11-09,Sunday,0,Sunday
1902-11-10,Monday,0,King's Birthday
1902-11-11,Tuesday,5,
1902-11-12,Wednesday,5,
1902-11-13,Thursday,5,
1902-11-14,Friday,5,
1902-11-15,Saturday,2,
1902-11-16,Sunday,0,Sunday
1902-11-17,Monday,5,
1902-11-18,Tuesday,5,
1902-11-19,Wednesday,5,
1902-11-20,Thursday,5,
1902-11-21,Friday,5,
1902-11-22,Saturday,2,
1902-11-23,Sunday,0,Sunday
1902-11-24,Monday,5,
